DATETIME,NODE_PM,Peak CPU usage,Average memory usage
19/10/20 14,GGSN_BREST,39,51
19/10/20 15,GGSN_BREST,42,51
19/10/20 16,GGSN_BREST,40,51
19/10/20 17,GGSN_BREST,40,51
19/10/20 18,GGSN_BREST,41,51
19/10/20 19,GGSN_BREST,42,51
19/10/20 20,GGSN_BREST,43,51
19/10/20 21,GGSN_BREST,42,51
19/10/20 22,GGSN_BREST,40,51
19/10/20 23,GGSN_BREST,40,51
20/10/20 00,GGSN_BREST,35,51
20/10/20 01,GGSN_BREST,32,51
20/10/20 02,GGSN_BREST,24,51
20/10/20 03,GGSN_BREST,34,51
20/10/20 04,GGSN_BREST,34,51
20/10/20 05,GGSN_BREST,24,51
20/10/20 06,GGSN_BREST,32,51
20/10/20 07,GGSN_BREST,33,51
20/10/20 08,GGSN_BREST,34,51
20/10/20 09,GGSN_BREST,38,51
20/10/20 10,GGSN_BREST,41,51
20/10/20 11,GGSN_BREST,39,51
20/10/20 12,GGSN_BREST,35,51
20/10/20 13,GGSN_BREST,38,51
20/10/20 14,GGSN_BREST,36,51
20/10/20 15,GGSN_BREST,39,51
20/10/20 16,GGSN_BREST,38,51
20/10/20 17,GGSN_BREST,39,51
20/10/20 18,GGSN_BREST,39,51
20/10/20 19,GGSN_BREST,42,51
20/10/20 20,GGSN_BREST,45,51
20/10/20 21,GGSN_BREST,44,51
20/10/20 22,GGSN_BREST,44,51
20/10/20 23,GGSN_BREST,41,51
21/10/20 00,GGSN_BREST,36,51
21/10/20 01,GGSN_BREST,32,51
21/10/20 02,GGSN_BREST,36,51
21/10/20 03,GGSN_BREST,33,51
21/10/20 04,GGSN_BREST,30,51
21/10/20 05,GGSN_BREST,37,51
21/10/20 06,GGSN_BREST,23,51
21/10/20 07,GGSN_BREST,31,51
21/10/20 08,GGSN_BREST,30,51
21/10/20 09,GGSN_BREST,36,51
21/10/20 10,GGSN_BREST,37,51
21/10/20 11,GGSN_BREST,37,51
21/10/20 12,GGSN_BREST,43,51
21/10/20 13,GGSN_BREST,42,51
21/10/20 14,GGSN_BREST,43,51
21/10/20 15,GGSN_BREST,40,51
21/10/20 16,GGSN_BREST,39,51
21/10/20 17,GGSN_BREST,40,51
21/10/20 18,GGSN_BREST,41,51
21/10/20 19,GGSN_BREST,42,51
21/10/20 20,GGSN_BREST,43,51
21/10/20 21,GGSN_BREST,45,51
21/10/20 22,GGSN_BREST,42,51
21/10/20 23,GGSN_BREST,39,51
22/10/20 00,GGSN_BREST,34,51
22/10/20 01,GGSN_BREST,33,51
22/10/20 02,GGSN_BREST,34,51
22/10/20 03,GGSN_BREST,25,51
22/10/20 04,GGSN_BREST,36,51
22/10/20 05,GGSN_BREST,31,51
22/10/20 06,GGSN_BREST,34,51
22/10/20 07,GGSN_BREST,30,51
22/10/20 08,GGSN_BREST,32,51
22/10/20 09,GGSN_BREST,33,51
22/10/20 10,GGSN_BREST,38,51
22/10/20 11,GGSN_BREST,37,51
22/10/20 12,GGSN_BREST,38,51
22/10/20 13,GGSN_BREST,38,51
22/10/20 14,GGSN_BREST,42,51
22/10/20 15,GGSN_BREST,40,51
22/10/20 16,GGSN_BREST,41,51
22/10/20 17,GGSN_BREST,42,51
22/10/20 18,GGSN_BREST,44,51
22/10/20 19,GGSN_BREST,44,51
22/10/20 20,GGSN_BREST,46,51
22/10/20 21,GGSN_BREST,45,51
22/10/20 22,GGSN_BREST,41,51
22/10/20 23,GGSN_BREST,38,51
23/10/20 00,GGSN_BREST,34,51
23/10/20 01,GGSN_BREST,29,51
23/10/20 02,GGSN_BREST,32,51
23/10/20 03,GGSN_BREST,23,51
23/10/20 04,GGSN_BREST,31,51
23/10/20 05,GGSN_BREST,31,51
23/10/20 06,GGSN_BREST,35,51
23/10/20 07,GGSN_BREST,35,51
23/10/20 08,GGSN_BREST,30,51
23/10/20 09,GGSN_BREST,38,51
23/10/20 10,GGSN_BREST,37,51
23/10/20 11,GGSN_BREST,38,51
23/10/20 12,GGSN_BREST,39,51
23/10/20 13,GGSN_BREST,38,51
23/10/20 14,GGSN_BREST,38,51
23/10/20 15,GGSN_BREST,40,51
23/10/20 16,GGSN_BREST,45,51
23/10/20 17,GGSN_BREST,38,51
23/10/20 18,GGSN_BREST,41,51
23/10/20 19,GGSN_BREST,46,51
23/10/20 20,GGSN_BREST,49,51
23/10/20 21,GGSN_BREST,47,51
23/10/20 22,GGSN_BREST,42,51
23/10/20 23,GGSN_BREST,46,51
24/10/20 00,GGSN_BREST,37,51
24/10/20 01,GGSN_BREST,35,51
24/10/20 02,GGSN_BREST,25,51
24/10/20 03,GGSN_BREST,35,51
24/10/20 04,GGSN_BREST,29,51
24/10/20 05,GGSN_BREST,33,51
24/10/20 06,GGSN_BREST,32,51
24/10/20 07,GGSN_BREST,33,51
24/10/20 08,GGSN_BREST,34,51
24/10/20 09,GGSN_BREST,34,51
24/10/20 10,GGSN_BREST,50,51
24/10/20 11,GGSN_BREST,40,51
24/10/20 12,GGSN_BREST,43,51
24/10/20 13,GGSN_BREST,40,51
24/10/20 14,GGSN_BREST,38,51
24/10/20 15,GGSN_BREST,39,51
24/10/20 16,GGSN_BREST,42,51
24/10/20 17,GGSN_BREST,39,51
24/10/20 18,GGSN_BREST,42,51
24/10/20 19,GGSN_BREST,41,51
24/10/20 20,GGSN_BREST,42,51
24/10/20 21,GGSN_BREST,42,51
24/10/20 22,GGSN_BREST,42,51
24/10/20 23,GGSN_BREST,39,51
25/10/20 00,GGSN_BREST,37,51
25/10/20 01,GGSN_BREST,30,51
25/10/20 02,GGSN_BREST,34,51
25/10/20 03,GGSN_BREST,24,51
25/10/20 04,GGSN_BREST,40,51
25/10/20 05,GGSN_BREST,37,51
25/10/20 06,GGSN_BREST,23,51
25/10/20 07,GGSN_BREST,35,51
25/10/20 08,GGSN_BREST,28,51
25/10/20 09,GGSN_BREST,35,51
25/10/20 10,GGSN_BREST,35,51
25/10/20 11,GGSN_BREST,38,51
25/10/20 12,GGSN_BREST,38,51
25/10/20 13,GGSN_BREST,52,51
25/10/20 14,GGSN_BREST,43,51
25/10/20 15,GGSN_BREST,44,51
