DATETIME,NODE_PM,Peak CPU usage,Average memory usage
13/10/20 07,GGSN_BREST,35,51
13/10/20 08,GGSN_BREST,36,51
13/10/20 09,GGSN_BREST,35,51
13/10/20 10,GGSN_BREST,35,51
13/10/20 11,GGSN_BREST,40,51
13/10/20 12,GGSN_BREST,41,51
13/10/20 13,GGSN_BREST,40,51
13/10/20 14,GGSN_BREST,40,51
13/10/20 15,GGSN_BREST,38,51
13/10/20 16,GGSN_BREST,44,51
13/10/20 17,GGSN_BREST,41,51
13/10/20 18,GGSN_BREST,42,51
13/10/20 19,GGSN_BREST,43,51
13/10/20 20,GGSN_BREST,45,51
13/10/20 21,GGSN_BREST,47,51
13/10/20 22,GGSN_BREST,42,51
13/10/20 23,GGSN_BREST,38,51
14/10/20 00,GGSN_BREST,31,51
14/10/20 01,GGSN_BREST,34,51
14/10/20 02,GGSN_BREST,33,51
14/10/20 03,GGSN_BREST,32,51
14/10/20 04,GGSN_BREST,33,51
14/10/20 05,GGSN_BREST,33,51
14/10/20 06,GGSN_BREST,26,51
14/10/20 07,GGSN_BREST,33,51
14/10/20 08,GGSN_BREST,35,51
14/10/20 09,GGSN_BREST,36,51
14/10/20 10,GGSN_BREST,39,51
14/10/20 11,GGSN_BREST,42,51
14/10/20 12,GGSN_BREST,41,51
14/10/20 13,GGSN_BREST,39,51
14/10/20 14,GGSN_BREST,47,51
14/10/20 15,GGSN_BREST,43,51
14/10/20 16,GGSN_BREST,41,51
14/10/20 17,GGSN_BREST,40,51
14/10/20 18,GGSN_BREST,41,51
14/10/20 19,GGSN_BREST,44,51
14/10/20 20,GGSN_BREST,44,51
14/10/20 21,GGSN_BREST,42,51
14/10/20 22,GGSN_BREST,45,51
14/10/20 23,GGSN_BREST,40,51
15/10/20 00,GGSN_BREST,35,51
15/10/20 01,GGSN_BREST,29,51
15/10/20 02,GGSN_BREST,35,51
15/10/20 03,GGSN_BREST,34,51
15/10/20 04,GGSN_BREST,29,51
15/10/20 05,GGSN_BREST,33,51
15/10/20 06,GGSN_BREST,26,51
15/10/20 07,GGSN_BREST,31,51
15/10/20 08,GGSN_BREST,33,51
15/10/20 09,GGSN_BREST,37,51
15/10/20 10,GGSN_BREST,41,51
15/10/20 11,GGSN_BREST,37,51
15/10/20 12,GGSN_BREST,38,51
15/10/20 13,GGSN_BREST,40,51
15/10/20 14,GGSN_BREST,42,51
15/10/20 15,GGSN_BREST,41,51
15/10/20 16,GGSN_BREST,41,51
15/10/20 17,GGSN_BREST,40,51
15/10/20 18,GGSN_BREST,42,51
15/10/20 19,GGSN_BREST,41,51
15/10/20 20,GGSN_BREST,45,51
15/10/20 21,GGSN_BREST,43,51
15/10/20 22,GGSN_BREST,42,51
15/10/20 23,GGSN_BREST,40,51
16/10/20 00,GGSN_BREST,35,51
16/10/20 01,GGSN_BREST,27,51
16/10/20 02,GGSN_BREST,32,51
16/10/20 03,GGSN_BREST,24,51
16/10/20 04,GGSN_BREST,31,51
16/10/20 05,GGSN_BREST,24,51
16/10/20 06,GGSN_BREST,35,51
16/10/20 07,GGSN_BREST,32,51
16/10/20 08,GGSN_BREST,33,51
16/10/20 09,GGSN_BREST,36,51
16/10/20 10,GGSN_BREST,37,51
16/10/20 11,GGSN_BREST,40,51
16/10/20 12,GGSN_BREST,38,51
16/10/20 13,GGSN_BREST,39,51
16/10/20 14,GGSN_BREST,42,51
16/10/20 15,GGSN_BREST,45,51
16/10/20 16,GGSN_BREST,45,51
16/10/20 17,GGSN_BREST,42,51
16/10/20 18,GGSN_BREST,42,51
16/10/20 19,GGSN_BREST,43,51
16/10/20 20,GGSN_BREST,46,51
16/10/20 21,GGSN_BREST,44,51
16/10/20 22,GGSN_BREST,45,51
16/10/20 23,GGSN_BREST,40,51
17/10/20 00,GGSN_BREST,37,51
17/10/20 01,GGSN_BREST,31,51
17/10/20 02,GGSN_BREST,24,51
17/10/20 03,GGSN_BREST,37,51
17/10/20 04,GGSN_BREST,29,51
17/10/20 05,GGSN_BREST,36,51
17/10/20 06,GGSN_BREST,26,51
17/10/20 07,GGSN_BREST,36,51
17/10/20 08,GGSN_BREST,35,51
17/10/20 09,GGSN_BREST,35,51
17/10/20 10,GGSN_BREST,38,51
17/10/20 11,GGSN_BREST,42,51
17/10/20 12,GGSN_BREST,41,51
17/10/20 13,GGSN_BREST,42,51
17/10/20 14,GGSN_BREST,42,51
17/10/20 15,GGSN_BREST,42,51
17/10/20 16,GGSN_BREST,39,51
17/10/20 17,GGSN_BREST,42,51
17/10/20 18,GGSN_BREST,43,51
17/10/20 19,GGSN_BREST,43,51
17/10/20 20,GGSN_BREST,44,51
17/10/20 21,GGSN_BREST,43,51
17/10/20 22,GGSN_BREST,45,51
17/10/20 23,GGSN_BREST,41,51
18/10/20 00,GGSN_BREST,38,51
18/10/20 01,GGSN_BREST,37,51
18/10/20 02,GGSN_BREST,24,51
18/10/20 03,GGSN_BREST,33,51
18/10/20 04,GGSN_BREST,34,51
18/10/20 05,GGSN_BREST,31,51
18/10/20 06,GGSN_BREST,35,51
18/10/20 07,GGSN_BREST,30,51
18/10/20 08,GGSN_BREST,25,51
18/10/20 09,GGSN_BREST,47,51
18/10/20 10,GGSN_BREST,37,51
18/10/20 11,GGSN_BREST,40,51
18/10/20 12,GGSN_BREST,42,51
18/10/20 13,GGSN_BREST,43,51
18/10/20 14,GGSN_BREST,45,51
18/10/20 15,GGSN_BREST,43,51
18/10/20 16,GGSN_BREST,43,51
18/10/20 17,GGSN_BREST,45,51
18/10/20 18,GGSN_BREST,43,51
18/10/20 19,GGSN_BREST,43,51
18/10/20 20,GGSN_BREST,45,51
18/10/20 21,GGSN_BREST,55,51
18/10/20 22,GGSN_BREST,43,51
18/10/20 23,GGSN_BREST,43,51
19/10/20 00,GGSN_BREST,37,51
19/10/20 01,GGSN_BREST,31,51
19/10/20 02,GGSN_BREST,24,51
19/10/20 03,GGSN_BREST,34,51
19/10/20 04,GGSN_BREST,30,51
19/10/20 05,GGSN_BREST,34,51
19/10/20 06,GGSN_BREST,24,51
19/10/20 07,GGSN_BREST,34,51
19/10/20 08,GGSN_BREST,32,51
19/10/20 09,GGSN_BREST,35,51
19/10/20 10,GGSN_BREST,34,51
19/10/20 11,GGSN_BREST,37,51
19/10/20 12,GGSN_BREST,37,51
19/10/20 13,GGSN_BREST,40,51
